Satellite;Orbit
STARLINK-11087 [DTC];1
STARLINK-11090 [DTC];1
STARLINK-11093 [DTC];1
STARLINK-11083 [DTC];1
STARLINK-11085 [DTC];1
STARLINK-11089 [DTC];1
STARLINK-11394 [DTC];2
STARLINK-11490 [DTC];2
STARLINK-11466 [DTC];2
STARLINK-11468 [DTC];2
STARLINK-11488 [DTC];2
STARLINK-11483 [DTC];2
STARLINK-11492 [DTC];2
STARLINK-11471 [DTC];2
STARLINK-11475 [DTC];2
STARLINK-11469 [DTC];2
STARLINK-11476 [DTC];2
STARLINK-11485 [DTC];2
STARLINK-11481 [DTC];2
STARLINK-11247 [DTC];3
STARLINK-11259 [DTC];3
STARLINK-11188 [DTC];3
STARLINK-11272 [DTC];3
STARLINK-11261 [DTC];3
STARLINK-11263 [DTC];3
STARLINK-11235 [DTC];3
STARLINK-11080 [DTC];3
STARLINK-11249 [DTC];3
STARLINK-11146 [DTC];3
STARLINK-11255 [DTC];3
STARLINK-11254 [DTC];3
STARLINK-11266 [DTC];3
STARLINK-11242 [DTC];4
STARLINK-11256 [DTC];4
STARLINK-11159 [DTC];4
STARLINK-11264 [DTC];4
STARLINK-11226 [DTC];4
STARLINK-11229 [DTC];4
STARLINK-11265 [DTC];4
STARLINK-11250 [DTC];4
STARLINK-11190 [DTC];4
STARLINK-11225 [DTC];4
STARLINK-11273 [DTC];4
STARLINK-11248 [DTC];4
STARLINK-11271 [DTC];4
STARLINK-11384 [DTC];5
STARLINK-11379 [DTC];5
STARLINK-11387 [DTC];5
STARLINK-11389 [DTC];5
STARLINK-11388 [DTC];5
STARLINK-11345 [DTC];5
STARLINK-11381 [DTC];5
STARLINK-11369 [DTC];5
STARLINK-11303 [DTC];5
STARLINK-11367 [DTC];5
STARLINK-11386 [DTC];5
STARLINK-11380 [DTC];5
STARLINK-11147 [DTC];6
STARLINK-11128 [DTC];6
STARLINK-11227 [DTC];6
STARLINK-11224 [DTC];6
STARLINK-11115 [DTC];6
STARLINK-11109 [DTC];6
STARLINK-11223 [DTC];6
STARLINK-11192 [DTC];6
STARLINK-11213 [DTC];6
STARLINK-11200 [DTC];6
STARLINK-11208 [DTC];6
STARLINK-11206 [DTC];6
STARLINK-11205 [DTC];6
STARLINK-11496 [DTC];7
STARLINK-11501 [DTC];7
STARLINK-11491 [DTC];7
STARLINK-11479 [DTC];7
STARLINK-11489 [DTC];7
STARLINK-11494 [DTC];7
STARLINK-11333 [DTC];7
STARLINK-11504 [DTC];7
STARLINK-11495 [DTC];7
STARLINK-11498 [DTC];7
STARLINK-11484 [DTC];7
STARLINK-11487 [DTC];7
STARLINK-11499 [DTC];7
STARLINK-11168 [DTC];8
STARLINK-11187 [DTC];8
STARLINK-11180 [DTC];8
STARLINK-11197 [DTC];8
STARLINK-11194 [DTC];8
STARLINK-11189 [DTC];8
STARLINK-11183 [DTC];8
STARLINK-11179 [DTC];8
STARLINK-11175 [DTC];8
STARLINK-11173 [DTC];8
STARLINK-11172 [DTC];8
STARLINK-11152 [DTC];8
STARLINK-11193 [DTC];8
STARLINK-11452 [DTC];9
STARLINK-11443 [DTC];9
STARLINK-11440 [DTC];9
STARLINK-11514 [DTC];9
STARLINK-11508 [DTC];9
STARLINK-11510 [DTC];9
STARLINK-11512 [DTC];9
STARLINK-11450 [DTC];9
STARLINK-11507 [DTC];9
STARLINK-11482 [DTC];9
STARLINK-11528 [DTC];9
STARLINK-11516 [DTC];9
STARLINK-11527 [DTC];9
STARLINK-11209 [DTC];10
STARLINK-11257 [DTC];10
STARLINK-11309 [DTC];10
STARLINK-11292 [DTC];10
STARLINK-11302 [DTC];10
STARLINK-11277 [DTC];10
STARLINK-11279 [DTC];10
STARLINK-11091 [DTC];10
STARLINK-11291 [DTC];10
STARLINK-11304 [DTC];10
STARLINK-11307 [DTC];10
STARLINK-11298 [DTC];10
STARLINK-11310 [DTC];10
STARLINK-11181 [DTC];11
STARLINK-11176 [DTC];11
STARLINK-11167 [DTC];11
STARLINK-11166 [DTC];11
STARLINK-11165 [DTC];11
STARLINK-11169 [DTC];11
STARLINK-11102 [DTC];11
STARLINK-11141 [DTC];11
STARLINK-11153 [DTC];11
STARLINK-11170 [DTC];11
STARLINK-11171 [DTC];11
STARLINK-11186 [DTC];11
STARLINK-11184 [DTC];11
STARLINK-11125 [DTC];12
STARLINK-11118 [DTC];12
STARLINK-11132 [DTC];12
STARLINK-11131 [DTC];12
STARLINK-11114 [DTC];12
STARLINK-11105 [DTC];12
STARLINK-11097 [DTC];12
STARLINK-11098 [DTC];12
STARLINK-11117 [DTC];12
STARLINK-11110 [DTC];12
STARLINK-11104 [DTC];12
STARLINK-11111 [DTC];12
STARLINK-11106 [DTC];12
STARLINK-11201 [DTC];13
STARLINK-11198 [DTC];13
STARLINK-11112 [DTC];13
STARLINK-11210 [DTC];13
STARLINK-11203 [DTC];13
STARLINK-11177 [DTC];13
STARLINK-11127 [DTC];13
STARLINK-11164 [DTC];13
STARLINK-11119 [DTC];13
STARLINK-11157 [DTC];13
STARLINK-11162 [DTC];13
